"Millis","P1","P2"
1,0,0
87,0,0
185,0,0
284,0,0
381,0,0
479,0,0
576,11,0
675,87,0
773,300,0
870,574,0
969,693,0
1066,718,0
1164,719,0
1263,718,0
1360,718,0
1460,718,0
1562,718,0
1663,718,0
1764,717,0
1866,718,11
1967,719,36
2068,708,127
2170,696,318
2270,704,458
2372,714,495
2473,711,546
2574,708,673
2676,707,761
2777,708,787
2878,714,782
2980,717,778
3080,716,756
3181,715,741
3283,713,740
3384,705,741
3486,699,740
3587,699,740
3688,690,741
3789,672,740
3890,659,740
3991,661,740
4093,686,740
4194,703,740
4296,694,740
4397,694,740
4498,700,740
4599,701,740
4700,712,741
4801,718,741
4903,718,740
5004,718,740
5106,718,741
5207,718,740
5307,718,740
5409,718,740
5510,718,740
5611,718,740
5713,718,741
5814,718,740
5916,718,740
6017,718,740
6117,718,740
6219,718,740
6320,718,741
6421,718,740
6523,718,740
6624,718,741
6726,718,741
6826,718,741
6927,718,740
7029,718,740
7130,718,740
7231,718,740
7333,718,740
7434,718,741
7535,718,741
7636,718,740
7737,718,740
7839,718,741
7940,718,741
8041,718,740
8143,718,740
8244,718,741
8345,718,741
8446,718,740
8547,718,740
8649,718,740
8750,718,741
8851,718,740
8953,719,740
9054,718,740
9156,718,741
9257,718,741
9358,718,741
9459,718,741
9560,718,741
9661,718,741
9763,718,741
9864,718,740
9965,718,740
10067,718,740
10168,718,740
10270,718,741
10371,718,740
10471,718,740
10573,718,740
10674,718,740
10775,718,741
10877,718,741
10978,718,741
11080,718,740
11181,718,740
11282,718,740
11384,718,740
11485,718,740
11585,718,740
11687,718,741
11788,718,740
11890,718,740
11991,718,740
12092,718,741
12194,718,741
12295,718,740
12396,718,741
12497,718,740
12598,718,740
12700,718,741
12801,718,741
12902,718,740
13004,718,740
13105,718,741
13205,718,740
13307,718,740
13408,719,740
13510,719,740
13611,718,741
13712,718,741
13814,718,741
13914,718,741
14015,718,740
14117,719,740
14218,718,740
14320,718,741
14421,718,741
14522,718,741
14624,718,741
14724,718,741
14825,718,741
14927,718,740
15028,718,740
15130,718,740
15231,718,741
15332,718,740
15433,718,740
15534,719,740
15635,719,741
15737,718,740
15838,718,741
15940,718,741
16041,718,743
16141,718,752
16243,718,754
16344,718,756
16445,718,759
16547,718,762
16648,718,768
16749,718,776
16851,718,778
16951,719,775
17053,718,763
17154,718,742
17255,718,737
17357,718,737
17458,718,737
17559,719,737
17660,718,737
17761,718,737
17863,718,737
17964,718,737
18065,718,737
18167,718,737
18268,718,737
18368,718,737
18470,719,737
18571,718,737
18673,718,737
18774,718,737
18875,718,737
18977,718,737
19077,718,737
19178,719,737
19280,718,737
19381,718,737
19483,719,737
19584,718,737
19685,718,737
19786,718,737
19887,718,737
19988,718,737
20090,718,737
20191,719,737
20293,719,737
20394,718,737
20494,719,737
20596,719,737
20697,718,737
20798,718,737
20900,719,737
21001,719,737
21103,718,737
21204,718,737
21304,718,737
21406,718,737
21507,719,737
21608,719,737
21710,718,737
21811,718,737
21913,719,737
22013,729,737
22114,772,737
22216,765,737
22317,731,737
22418,715,737
22520,715,737
22621,715,737
22721,715,737
22823,715,737
22924,715,737
23026,715,737
23127,715,737
23228,715,737
23330,715,736
23430,715,736
23531,715,736
23633,715,736
23734,715,736
23836,715,737
23937,715,737
24038,715,736
24139,715,736
24240,715,737
24341,715,736
24443,715,737
24544,715,737
24646,715,737
24747,715,737
24847,715,737
24949,715,737
25050,715,737
25151,745,738
25253,797,751
25354,815,760
25456,765,758
25556,716,758
25657,711,762
25759,710,771
25860,710,778
25961,710,772
26063,710,754
