"Millis","P1","P2"
1,716,685
87,716,685
185,716,684
284,716,684
381,716,683
479,716,683
576,716,683
675,716,683
772,716,683
870,716,685
969,716,686
1068,716,685
1169,716,685
1271,716,684
1372,716,684
1472,716,684
1574,716,683
1675,716,683
1776,716,683
1878,717,686
1978,716,690
2080,717,689
2181,716,689
2282,716,689
2384,717,689
2484,717,688
2585,717,688
2687,716,688
2788,716,688
2890,716,687
2990,716,687
3091,716,687
3193,717,687
3294,717,687
3395,716,687
3497,716,687
3597,716,686
3699,717,686
3800,719,686
3901,715,686
4003,715,687
4103,717,686
4204,717,687
4306,717,693
4407,717,703
4509,717,697
4609,716,687
4710,716,685
4812,716,687
4913,717,687
5014,717,687
5115,717,686
5216,717,686
5317,717,686
5419,717,686
5520,717,686
5622,717,686
5722,717,685
5823,717,685
5925,717,685
6026,717,685
6127,717,685
6228,717,685
6329,717,685
6431,717,685
6532,717,685
6633,717,685
6734,717,685
6835,717,684
6936,717,684
7038,717,684
7139,717,684
7240,717,684
7341,717,685
7442,717,701
7544,717,720
7645,717,717
7745,717,691
7847,717,669
7948,717,679
8050,717,682
8151,717,682
8251,717,682
8353,717,682
8454,717,682
8555,717,682
8657,717,682
8758,717,682
8858,717,682
8960,717,682
9061,717,682
9163,717,682
9264,717,682
9364,717,682
9466,717,682
9567,717,682
9668,717,681
9770,717,681
9870,717,681
9972,717,681
10073,717,681
10174,717,681
10276,717,681
10376,717,681
10477,717,681
10579,717,685
10680,717,698
10782,717,692
10882,717,682
10983,717,682
11085,717,682
11186,717,698
11287,717,724
11388,717,704
11489,717,678
11591,717,679
11692,717,679
11793,717,679
11894,717,679
11995,717,679
12096,717,679
12198,717,679
12299,717,679
12399,717,679
12501,717,679
12602,717,679
12704,717,679
12805,717,679
12905,717,678
13007,717,678
13108,717,678
13209,717,678
13311,717,678
13411,717,678
13513,717,678
13614,717,678
13715,717,678
13817,717,678
13917,717,678
14018,717,678
14120,717,678
14221,717,678
14323,717,678
14423,717,678
14524,717,678
14626,717,678
14727,717,678
14828,717,678
14929,717,679
15030,717,694
15132,717,708
15233,717,718
15334,717,702
15435,717,670
15536,717,657
15637,717,672
15739,717,676
15840,717,676
15940,717,676
16042,717,676
16143,717,676
16245,717,676
16346,717,676
16446,717,676
16548,717,676
16649,717,676
16750,717,676
16852,717,676
16952,717,676
17054,717,676
17155,717,676
17256,717,676
17358,717,676
17458,717,676
17559,717,676
17661,717,675
17762,717,675
17864,717,675
17964,717,675
18065,717,675
18167,717,675
18268,717,675
18369,717,675
18470,717,675
18571,717,675
18672,717,675
18774,717,676
18875,717,704
18976,717,703
19077,717,692
19178,717,679
19280,717,674
19381,717,675
19481,717,674
19583,717,674
19684,717,675
19786,717,675
19887,717,674
19987,717,674
20089,717,674
20190,717,674
20291,717,674
20393,717,674
20493,717,674
20595,717,674
20696,717,674
20797,717,674
20899,717,674
20999,717,674
21100,717,674
21202,717,674
21303,717,674
21405,717,674
21505,717,674
21606,717,674
21708,717,674
21809,717,674
21909,717,674
22011,717,674
22112,717,674
22213,717,674
22315,717,674
22415,717,674
22517,717,674
22618,717,674
22719,717,674
22821,717,677
22921,717,695
23022,717,702
23124,717,694
23225,717,683
23327,717,686
23427,717,702
23528,717,694
23630,717,675
23731,717,672
23832,717,672
23933,717,672
24034,717,672
24136,717,673
24237,717,673
24338,717,673
24439,717,673
24540,717,673
24641,717,673
24743,717,1802
24938,717,672
25037,717,672
25134,717,672
25232,717,672
25330,717,672
25428,722,672
25525,721,672
25623,717,672
25721,717,672
25819,717,672
25916,717,672
26015,717,672
26112,717,672
26210,717,672
26308,717,672
26406,717,672
26504,717,672
26601,717,672
26700,717,672
26797,717,672
26895,717,672
26992,717,674
27091,717,682
27188,717,683
27286,717,677
27384,717,674
27482,717,674
27580,717,673
27678,717,673
27779,717,673
27880,717,673
27981,717,673
28082,717,673
28183,717,673
28285,717,673
28386,717,673
28488,717,673
28588,717,673
28689,717,673
28791,717,673
28892,717,673
28993,717,673
29095,717,673
29195,717,673
29296,717,673
29398,717,673
29499,717,673
29601,717,673
29702,717,673
29802,717,673
29904,717,673
30005,717,673
30106,717,673
30208,717,672
30309,717,673
30410,717,672
30511,717,672
30612,717,672
30714,717,672
30815,717,672
30916,717,672
31017,717,672
31118,717,673
31220,717,686
31321,717,723
31422,717,750
31524,717,748
31624,717,741
31725,717,724
31827,717,692
31928,717,671
32030,717,669
32131,717,669
32231,717,669
32333,717,669
32434,717,669
32535,717,669
32637,717,669
32738,717,669
32839,717,669
32940,717,669
33041,717,669
33143,717,669
33244,717,669
33344,717,669
33446,717,669
33547,717,669
33648,717,669
33750,717,669
33851,717,669
33952,717,669
34053,717,669
34154,717,669
34256,717,669
34357,717,669
34458,717,669
34559,717,669
34660,717,669
34762,717,669
34863,717,669
34964,717,669
35066,717,669
35166,717,670
35267,717,682
35369,717,678
35470,717,674
35572,717,654
35673,717,638
35773,717,653
35875,717,663
35976,717,664
36077,717,664
36179,717,664
36280,717,664
36381,717,664
36482,717,664
36583,717,664
36685,717,664
36786,717,664
36886,717,663
36988,717,663
37089,717,664
37191,717,664
37292,717,663
37393,717,663
37494,717,663
37595,717,663
37696,717,663
37798,717,663
37899,717,663
38000,717,663
38101,717,663
38202,717,663
38304,717,663
38405,717,663
38506,717,663
38608,717,663
38708,717,663
38809,717,663
38911,717,666
39012,717,681
39114,717,676
39215,717,655
39315,717,644
39417,717,659
39518,717,659
39619,717,659
39721,717,659
39822,717,659
39923,717,659
40024,717,659
40125,717,659
40227,717,659
40328,717,659
40428,717,659
40530,717,659
40631,717,659
40733,717,659
40834,717,659
40935,717,659
41036,717,659
41137,717,659
41238,717,659
41340,717,659
41441,717,659
41543,717,659
41643,717,659
41744,717,659
41846,717,659
41947,717,659
42048,717,659
42150,717,659
42250,717,659
42351,717,660
42453,717,673
42554,717,702
42656,717,726
42756,717,709
42857,717,665
42959,717,658
43060,717,659
43161,717,659
43263,717,659
43363,717,659
43465,717,659
43566,717,659
43667,717,659
43769,717,659
43870,717,659
43970,717,659
44072,717,659
44173,717,659
44275,717,659
44376,717,659
44477,717,659
44578,717,659
44679,717,659
44780,717,659
44882,717,659
44983,717,659
45085,717,659
45185,717,659
45286,717,659
45388,717,659
45489,717,659
45590,717,658
45692,717,658
45792,717,658
45893,717,658
45995,717,658
46096,717,658
46198,717,663
46298,717,676
46399,717,672
46501,717,663
46602,717,653
46703,717,654
46805,717,657
