"Millis","P1","P2"
1,17,0
87,27,0
185,32,0
282,33,0
381,55,0
478,135,0
576,227,0
674,313,0
772,389,0
869,406,0
967,404,0
1066,454,4
1163,513,9
1261,565,19
1361,619,42
1462,673,74
1563,697,200
1665,638,454
1765,544,660
1867,532,736
1968,568,742
2069,573,742
2171,561,742
2272,504,742
2373,470,742
2475,489,742
2576,532,742
2677,580,742
2778,578,742
2879,571,742
2981,619,742
3082,685,742
3183,694,742
3285,641,742
3386,549,742
3487,486,742
3588,479,742
3689,506,742
3791,561,742
3892,593,742
3993,625,742
4095,676,742
4196,675,742
4298,625,742
4398,659,742
4499,705,742
4601,718,742
4702,719,742
4803,719,742
4905,719,742
5006,719,742
5108,719,742
5209,718,742
5309,718,742
5411,719,742
5512,719,742
5613,719,742
5715,719,742
5816,719,742
5918,719,742
6019,718,742
6120,719,742
6221,719,742
6322,719,742
6423,719,742
6525,719,742
6626,719,742
6727,719,742
6829,719,742
6930,719,742
7031,719,742
7132,719,742
7233,719,742
7335,719,742
7436,719,742
7537,719,742
7639,719,742
7740,719,742
7842,719,742
7942,719,742
8043,719,742
8145,719,742
8246,719,742
8347,719,742
8449,719,742
8550,719,742
8652,719,742
8752,719,742
8853,719,742
8955,719,742
9056,719,742
9157,719,742
9259,719,742
9360,719,742
9462,719,742
9563,719,742
9663,719,742
9765,719,742
9866,719,742
9967,719,742
10069,719,742
10170,719,742
10272,719,742
10373,719,742
10474,719,742
10575,719,742
10676,719,742
10777,719,742
10879,719,742
10980,719,742
11082,719,742
11183,719,742
11284,719,742
11385,719,742
11486,719,742
11587,719,742
11689,719,742
11790,719,742
11892,719,742
11993,719,742
12094,719,742
12195,719,742
12296,719,742
12397,719,742
12499,719,742
12600,719,742
12702,719,742
12803,719,742
12904,719,742
13006,719,742
13106,719,742
13207,719,742
13309,719,742
13410,719,742
13511,719,742
13613,719,742
13714,719,742
13816,719,742
13916,719,742
14017,719,742
14119,719,742
14220,719,742
14321,719,742
14423,719,742
14524,719,742
14626,719,742
14727,719,742
14827,719,742
14929,719,742
15030,719,742
15131,719,742
15233,719,742
15334,719,742
15436,719,742
15537,719,742
15637,718,742
15739,719,742
15840,719,742
15941,719,742
16043,719,742
16144,719,742
16246,719,742
16347,719,742
16447,719,742
16549,719,742
16650,719,742
16751,719,742
16853,719,742
16954,719,742
17056,719,742
17157,719,742
17257,719,742
17359,719,742
17460,719,742
17561,719,742
17663,719,742
17764,719,742
17866,719,742
17967,719,742
18067,719,742
18169,719,742
18270,719,742
18371,719,742
18473,719,742
18574,719,742
18676,719,742
18777,719,742
18877,719,742
18979,719,742
19080,719,742
19181,719,742
19283,719,742
19384,719,742
19486,719,742
19587,719,742
19688,719,742
19789,719,742
19890,719,742
19991,719,742
20093,719,742
20194,719,742
20295,719,742
20397,719,742
20498,719,742
20599,719,742
20700,719,742
20801,718,742
20903,719,742
21004,719,742
21105,719,742
21207,719,742
21308,719,742
21409,719,742
21510,719,742
21611,719,742
21713,719,742
21814,719,742
21915,719,742
22017,719,742
22118,719,742
22219,719,742
22320,719,742
22421,719,742
22523,719,742
22624,719,742
22725,719,742
22827,719,742
22928,719,742
23029,719,742
23130,719,742
23231,719,742
23333,719,742
23434,719,742
23535,719,742
23637,719,742
23738,719,742
23840,719,742
23940,719,742
24041,719,742
24143,719,742
24244,719,742
24345,719,742
24447,719,742
24548,719,742
24650,719,742
24750,719,742
24851,719,742
24953,719,742
25054,719,742
25155,719,742
25257,719,742
25358,719,742
25460,719,742
25560,719,742
25661,719,742
25763,719,742
25864,719,742
25965,719,742
26067,719,742
26168,719,742
26270,719,742
26370,719,742
26471,719,742
26573,719,742
26674,719,742
26775,719,742
26877,719,742
26978,719,742
27079,719,742
27180,719,742
27281,719,742
27383,719,742
27484,719,742
27585,719,742
27687,719,742
27788,719,742
27889,719,742
27990,719,742
28091,719,742
28193,719,742
28294,719,742
28395,719,742
28497,719,742
28598,719,742
28699,719,742
28800,719,742
28901,719,742
29003,719,742
29104,719,742
29205,719,742
29307,719,742
29408,719,742
29509,719,742
29611,719,742
29711,719,742
29813,719,742
29914,719,742
30015,719,742
30117,719,742
30218,719,742
30319,719,742
30420,719,742
30521,718,742
30623,719,742
30724,719,742
30825,719,742
30927,719,742
31028,719,742
31129,719,742
31230,719,742
31331,719,742
31433,719,742
31534,719,742
31635,719,742
31737,719,742
31838,719,742
31939,719,742
32040,719,742
32141,719,742
32242,719,742
32344,719,742
32445,719,742
32547,719,742
32648,719,742
32749,719,742
32850,719,742
32951,719,742
33052,720,742
33154,725,742
33255,737,742
33357,745,742
33458,740,742
33559,729,742
33660,718,742
33761,716,742
33862,710,742
33964,704,742
34065,710,742
34167,715,742
34268,715,742
34369,715,742
34470,715,742
34571,715,742
34672,715,742
34774,715,742
34875,715,742
34977,715,742
35078,715,742
35179,715,742
35280,715,742
35381,715,742
35482,715,742
35584,715,742
35685,715,742
35787,715,742
35888,715,742
35989,715,742
36090,715,742
36191,715,742
36292,715,742
36394,715,742
36495,716,742
36597,716,742
36698,715,742
36799,715,742
36900,715,742
37001,715,742
37102,715,742
37204,715,742
37305,715,742
37407,715,742
37508,715,742
37608,715,742
37710,715,742
37811,715,742
37912,715,742
38014,715,742
38115,715,742
38217,715,742
38318,715,742
38418,715,742
38520,715,742
38621,715,742
38722,715,742
38824,715,742
38925,715,742
39026,715,742
39128,715,742
39228,715,742
39330,715,742
39431,715,742
39532,715,742
39634,715,742
39735,715,742
39836,715,742
39938,715,742
40038,715,742
40140,715,742
40241,715,742
40342,715,742
40444,715,742
40545,715,742
40646,715,742
40748,715,742
40848,715,742
40950,715,742
41051,715,742
41152,715,742
41254,715,742
41355,715,742
41456,715,742
41558,715,742
41658,715,742
41760,717,742
41861,737,742
41962,768,742
42064,785,742
42165,791,742
42266,794,742
42368,790,742
42468,772,742
42570,754,742
42671,740,742
42772,733,742
42874,717,742
42975,704,742
43076,707,742
43178,711,742
43278,711,742
43380,711,742
43481,711,742
43582,711,742
43684,711,742
43785,711,742
43886,711,742
43988,711,742
44088,711,742
44190,711,742
44291,710,742
44392,710,742
44494,711,742
44595,711,742
44696,711,742
44798,711,742
44898,711,742
44999,711,742
45101,711,742
45202,711,742
45304,711,742
45405,711,742
45506,711,742
45608,711,742
45708,711,742
45809,711,742
45911,711,742
46012,711,742
46114,711,742
46215,711,742
46316,711,742
46417,711,742
46518,711,742
46619,711,742
46721,711,742
46822,711,742
46924,711,742
47025,711,742
47126,711,742
47227,711,742
47328,711,742
47429,711,742
47531,711,742
47632,711,742
47734,711,742
47835,711,742
47935,711,742
48037,711,742
48138,711,742
48239,711,742
48341,711,742
48442,711,742
48544,711,742
48645,711,742
48745,711,742
48847,711,742
48948,711,742
49049,711,742
49151,711,742
49252,711,742
49354,711,742
49455,711,742
49555,711,742
49657,711,742
49758,711,742
49859,711,742
49961,711,742
50062,711,742
50164,711,742
50264,711,742
50365,711,742
50467,711,742
50568,711,742
50669,711,742
50771,711,742
50872,711,742
50974,711,742
51074,711,742
51175,711,742
51277,711,742
51378,711,742
51479,711,742
51581,711,742
51682,711,742
51783,711,742
51884,711,742
51985,711,742
52087,711,742
52188,711,742
52289,711,742
52391,721,742
52492,739,742
52593,751,742
52694,755,742
52795,747,742
52897,738,742
52998,733,742
53099,729,742
53201,720,742
53302,714,742
53402,709,742
53504,717,742
53605,725,742
53707,708,742
53808,701,742
53909,706,742
54011,706,742
54112,706,742
54212,706,742
54314,706,742
54415,706,742
54517,706,742
54618,706,742
54719,706,742
54821,706,742
54922,706,742
55022,706,742
55124,706,742
55225,706,742
55327,706,742
55428,706,742
55529,706,742
55631,706,742
55731,706,742
55832,706,742
55934,706,742
56035,706,742
56137,706,742
56238,706,742
56339,706,742
56441,706,742
56541,706,742
56642,706,742
56744,706,742
56845,706,742
56946,706,742
57048,706,742
57149,706,742
57251,706,742
57351,706,742
57452,706,742
57554,706,742
57655,706,742
57756,706,742
57858,706,742
57958,706,742
58060,706,742
58161,706,742
58262,706,742
58364,706,742
58465,706,742
58565,706,742
58667,706,742
58768,706,742
58870,706,742
58971,706,742
59072,706,742
59173,706,742
59274,706,742
59375,706,742
59477,706,742
59578,706,742
59680,706,742
59780,706,742
59881,706,742
59983,706,742
60084,706,742
60185,706,742
60287,706,742
60387,706,742
60489,706,742
60590,706,742
60691,706,742
60793,706,742
60894,706,742
60994,706,742
61096,706,742
61197,706,742
61298,706,742
61400,706,742
61501,706,742
61602,706,742
61703,706,742
61804,706,742
61906,706,742
62007,706,742
62108,706,742
62209,706,742
62310,706,742
62412,706,742
62513,706,742
62614,706,742
62716,706,742
62816,706,742
62917,706,742
63019,706,742
63120,706,742
63222,706,742
63323,706,742
63423,706,742
63525,706,742
63626,706,742
63727,706,742
63829,706,742
63930,706,742
64031,706,742
64132,706,742
64233,706,742
64335,706,742
64436,706,742
64536,706,742
64638,706,742
64739,706,742
64841,706,742
64942,706,742
65043,706,742
65144,706,742
65245,706,742
65346,706,742
65448,706,742
65549,706,742
65650,706,742
65751,706,742
65852,706,742
65954,706,742
66055,706,742
66156,706,742
66258,706,742
66358,706,742
66459,706,742
66561,706,742
66662,706,742
66764,706,742
66865,706,742
66965,706,742
67067,706,742
67168,707,742
67269,706,742
67371,706,742
67472,706,742
67573,706,742
67674,706,742
67775,706,742
67877,706,742
67978,706,742
68079,706,742
68180,706,742
68281,706,742
68383,706,742
68484,706,742
68585,706,742
68687,706,742
68787,706,742
68888,706,742
68990,706,742
69091,706,742
69193,706,742
69294,707,742
69394,706,742
69496,706,742
69597,706,742
69698,706,742
69800,706,742
69900,706,742
70001,706,742
70103,706,742
70204,706,742
70306,706,742
70407,707,742
70507,709,742
70609,710,742
70710,708,742
70811,711,742
70913,722,742
71014,725,742
71115,732,742
71216,737,742
71317,738,742
71419,746,742
71520,752,742
71621,738,742
71722,722,742
71823,707,742
71925,695,742
72026,690,742
72127,695,742
72229,702,742
72329,702,742
72430,702,742
72532,702,742
72633,702,742
72735,702,742
72835,702,742
72936,702,742
73038,702,742
73139,702,742
73240,702,742
73342,702,742
73442,702,742
73543,702,742
