"Millis","P1","P2"
87,0,0
185,0,0
283,0,0
380,0,0
479,0,0
576,0,0
674,0,0
772,0,0
873,0,0
974,0,0
1076,0,0
1177,0,0
1278,0,0
1379,0,0
1480,0,0
1581,0,0
1683,0,0
1784,0,0
1884,0,0
1986,0,0
2087,0,0
2189,0,0
2289,0,0
2390,0,0
2492,0,0
2593,0,0
2694,0,0
2795,0,0
2896,0,0
2998,0,0
3099,0,0
3199,0,0
3301,0,0
3402,0,0
3503,0,0
3604,0,0
3705,0,0
3807,0,0
3908,0,0
4009,0,0
4110,0,0
4211,0,0
4312,0,0
4414,0,0
4514,0,0
4615,0,0
4717,0,0
4818,0,0
4919,0,0
5020,0,0
5121,0,0
5223,0,0
5324,0,0
5424,0,0
5526,0,0
5627,0,0
5729,0,0
5829,0,0
5930,0,0
6032,0,0
6133,0,0
6233,0,0
6335,0,0
6436,0,0
6538,0,0
6639,0,0
6739,0,0
6841,0,0
6942,0,0
7043,0,0
7144,0,0
7245,0,0
7347,0,0
7448,0,0
7548,0,0
7650,0,0
7751,0,0
7852,0,0
7953,0,0
8054,0,0
8155,0,0
8257,19,0
8357,102,0
8459,233,0
8560,513,0
8661,693,0
8762,711,0
8863,713,0
8964,714,0
9066,714,18
9166,711,88
9268,711,205
9369,711,386
9470,711,540
9572,713,720
9672,714,735
9773,714,737
9875,715,737
9976,714,737
10076,714,737
10178,714,737
10279,713,737
10381,713,737
10481,713,737
10582,712,737
10684,712,737
10785,712,737
10885,712,737
10987,712,737
11088,712,737
11190,712,737
11290,712,737
11391,712,737
11493,711,737
11594,711,737
11694,711,737
11796,711,737
11897,711,737
11999,711,737
12099,711,737
12200,710,737
12302,710,737
12403,710,737
12503,710,737
12605,710,737
12706,710,737
12806,710,737
12908,709,737
13009,709,737
13111,709,737
13211,709,737
13312,709,737
13414,709,737
13515,709,737
13615,709,737
13717,710,737
13818,721,737
13920,732,737
14020,727,737
14121,713,737
14223,707,737
14324,706,737
14424,706,737
14526,706,737
14627,705,737
14729,705,737
14829,705,737
14930,705,737
15032,705,737
15133,705,737
15233,705,737
15335,705,740
15436,705,753
15536,705,731
15638,705,732
15739,705,733
15841,705,733
15941,705,733
16042,709,733
16144,728,733
16245,719,733
16345,703,733
16447,701,733
16548,701,733
16650,701,733
16750,701,733
16851,701,733
16953,701,733
17053,701,733
17154,700,733
17256,700,733
17357,700,735
17457,700,741
17559,700,733
17660,700,727
17762,700,729
17862,700,729
17963,700,729
18065,703,729
18165,718,730
18266,709,730
18368,699,730
18469,698,730
18570,698,730
18671,698,729
18772,698,726
18873,698,729
18974,697,730
19075,697,729
19177,697,730
19277,697,730
19379,697,730
19480,697,730
19580,697,729
19682,697,730
19783,697,731
19884,697,745
19985,698,743
20086,714,728
20187,722,726
20288,699,726
20389,693,726
20491,693,726
20592,693,726
20692,693,726
20794,693,726
20895,693,726
20995,693,726
21097,693,726
21198,692,726
21300,692,726
21400,692,726
21501,692,726
21603,692,726
21703,692,726
21804,692,726
21906,692,726
22006,692,726
22107,694,726
22209,709,726
22310,711,726
22411,692,726
22512,690,726
22613,689,726
22714,689,726
22815,689,727
22916,689,725
23018,689,720
23118,689,722
23220,689,723
23321,689,723
23421,689,723
23523,689,723
23624,689,723
23724,689,723
23826,689,723
23927,689,723
24027,689,723
24129,689,723
24230,692,723
24332,706,723
24432,714,723
24533,707,723
24635,691,723
24735,686,723
24836,686,723
24938,686,723
25038,686,723
25140,686,723
25241,686,723
25342,686,723
25443,686,723
25544,686,723
25645,686,723
25746,686,723
25847,686,723
25948,686,723
26049,686,723
26150,686,725
26252,686,734
26352,686,740
26453,686,727
26555,686,720
26656,693,719
26756,708,719
26858,700,719
26959,686,719
27060,685,719
27161,685,719
27262,685,719
27363,685,719
27464,685,719
27565,685,719
27666,685,719
27767,685,719
27868,685,719
27970,685,719
28070,685,719
28172,685,719
28273,685,719
28373,685,719
28475,685,719
28576,685,719
28676,685,719
28778,685,719
28879,697,719
28980,713,719
29081,694,719
29182,681,719
29283,683,719
29384,684,719
29485,684,719
29587,685,719
29687,685,719
29788,685,719
29890,685,719
29990,685,719
30092,685,719
30193,685,719
30293,685,719
30395,685,719
30496,685,719
30596,685,719
30698,685,719
30799,685,719
30901,692,719
31001,707,719
31102,691,719
31204,680,719
31304,681,719
31405,681,719
31507,681,719
31607,682,719
31708,682,719
31810,682,719
31911,682,719
32012,682,719
32113,682,719
32214,682,719
32315,681,719
32416,681,719
32517,681,719
32619,682,719
32719,684,719
32821,708,719
32922,712,720
33022,685,719
33124,678,711
33225,678,697
33326,678,708
